title,box_off_num
파울볼,41754.56827421441
춘희막이,35851.611048707964
덫: 치명적인 유혹,688.4442831232733
션샤인 러브,42666.12564456813
사도,3185496.396004914
돼지 같은 여자,152777.52848998833
사랑이 이긴다,43327.72412794311
슈퍼레이서 엔지,15873.896429787232
제 7기사단,76.75537635024666
고백,49.88369410370356
미쓰 와이프,698189.94857741
위로공단,9206.85944728745
베테랑,3085951.565630231
악인은 살아 있다,7586.931928427148
쓰리 썸머 나잇,314186.94824029895
마돈나,126180.39656540014
"나의 아들, 나의 어머니",1128.0274304722868
슬픈남자,38.25263161243613
타이밍,11395.969433583023
타투,88.14647586328073
어떤이의 꿈,182.72234756918616
해에게서 소년에게,12217.110779087232
울보 권투부,4148.241444972875
어떤살인,109.99255320672926
말하지 못한 비밀,1870.66875691909
조선안방 스캔들-칠거지악 2,473.94687728237085
